Item Name,Item ID,Type,Loans,Completed Loans,Total DaysOut,Average Loan Length
Tack Hammer,ETL0514,Claw Hammers,3,3,14,4.67
Screwdriver,ETL0692,Screwdrivers,3,3,14,4.67
Micro G clamps (set of 2),ETL0877,Bar Clamps,3,3,14,4.67
6 amp 12 V Battery Charger,ETL0978,Automotive Trickle Chargers,3,3,14,4.67
Back Saw,ETL1004,Saws,3,3,14,4.67
Panel Saw,ETL1006,Saws,3,3,14,4.67
Finger Pointing Trowel,ETL1288,Tuck Point Trowel,3,3,14,4.67
Square,ETL1305,Squares,3,3,14,4.67
Folding pruning saw,ETL01340,Pruning Saw,3,3,14,4.67
Small Hacksaw,ETL0888,Hack saw,3,3,11,3.67
Roller Moss Remover / Scarifying rake,ETL6608,Corded Mowers,3,3,11,3.67
Multi tool,ETL1365,Jig Saws,3,3,8,2.67
Wood chisel,ETL0046,Wood Chisel,2,2,28,14
Paint scraper 60mm,ETL0306,Scrapers,2,2,28,14
14 / 12mm Spanner,ETL0663,Crescent Wrench,2,2,28,14
Adjustable spanner,ETL1195,Crescent Wrench,2,2,28,14
Autopaster Wallpaper pasting tool,ETL1216,Paste Brush,2,2,28,14
Wood chisel,ETL0050,Wood Chisel,2,2,26,13
Rubber Mallet,ETL0233,Rubber Mallets,2,2,26,13
Pointing Trowel,ETL1105,Brick Trowel,2,2,26,13
Belt Sander,ETL1361,Belt Sanders,2,2,22,11
Needle File Set,ETL0571,Files,2,2,21,10.5
Ratchet Socket Set,ETL0901,Socket Sets,2,2,21,10.5
Large Extendable Ratchet Lopping Shears / Secaturs,ETL1816,Grass Shear,2,2,21,10.5
Finishing Sander,ETL0905,Finishing Power Sanders,2,2,19,9.5
Float Trowel,ETL1103,Float,2,2,19,9.5
Small Axe,ETL0680,Hand Axe,2,2,17,8.5
Paint scraper,ETL1161,Scrapers,2,2,17,8.5
Jigsaw,ETL1020,Jig Saws,2,2,16,8
Grass Rake,ETL1149,Metal Garden Rake,2,2,16,8
Portable Folding Work Bench,ETL1322,Hand Tools,2,2,16,8
STAPLE GUN (4 WAY),ETL0949,Staple Gun,2,2,14,7
Wood chisel,ETL0056,Wood Chisel,2,2,14,7
Garden Fork,ETL0007,Digging Fork,2,2,14,7
Garden hoe,ETL0018,Hoes,2,2,14,7
Drill stand,ETL0112,Drill Press (hand),2,2,14,7
Marking guage,ETL0140,Marking,2,2,14,7
Garden hoe,ETL0170,Hoes,2,2,14,7
Sanding block,ETL0207,Sanders,2,2,14,7
paint roller cage,ETL0214,Paint Roller Frame,2,2,14,7
Stone chisel,ETL0224,Cement Chisel,2,2,14,7
Plumb bob/line,ETL0259,Testers (hand held),2,2,14,7
Rasp,ETL0286,Files,2,2,14,7
"Spirit Level 36"" / 910mm",ETL0359,Levels,2,2,14,7
Hedge Trimmer,ETL0371,Electric Hedge Trimmer,2,2,14,7
"Spirit level 27"" / 70cm",ETL0406,Levels,2,2,14,7
Two handed axe,ETL0474,Hand Axe,2,2,14,7
Wood chisel 8mm blade,ETL0486,Wood Chisel,2,2,14,7
Tape measure,ETL0492,Tape Measures,2,2,14,7
Club hammer,ETL0509,Hammers & Mallets,2,2,14,7
Small Hand-held Garden Fork,ETL0555,Digging Fork,2,2,14,7
Hand drill,ETL0572,Drills,2,2,14,7
Cross peen hammer,ETL0574,Ball Peen Hammers,2,2,14,7
Small Hand Plane,ETL0575,Planes,2,2,14,7
Hawkbill Machete,ETL0602,"Scythes, Sickles & Machetes",2,2,14,7
Airmaster Tiger Air Compressor,ETL0873,Compressors,2,2,14,7
Claw Hammer,ETL0709,Claw Hammers,2,2,14,7
Corded hammer drill,ETL0910,Hammer Drills,2,2,14,7
Garden rake,ETL0961,Metal Garden Rake,2,2,14,7
Bicycle Floor Pump,ETL0973,Bike Tools,2,2,14,7
Torque Wrench,ETL1024,Crescent Wrench,2,2,14,7
Small Hand-held Garden Fork,ETL1059,Digging Fork,2,2,14,7
Car Ramp,ETL1062,Automotive Ramps,2,2,14,7
Pneumatic Hose,ETL1063,Watering Tools,2,2,14,7
Caulk Gun,ETL1080,Caulk Guns,2,2,14,7
"Bike Pump, Floor",ETL1118,Bike Tools,2,2,14,7
Forstner,ETL1138,Power Tools,2,2,14,7
Garden Fork,ETL1151,Digging Fork,2,2,14,7
Wood file,ETL1157,Files,2,2,14,7
Paint scraper,ETL1160,Scrapers,2,2,14,7
Patio Knife,ETL1181,Hoe Weeders,2,2,14,7
Random Orbital Sander,ETL1210,Random Orbit Sander,2,2,14,7
Trim Router,ETL1231,Routers,2,2,14,7
Combination Spanner/Wrench set,ETL1234,Open End Wrench,2,2,14,7
Plug hole cutter/dowel making drill bit set,ETL1239,Drill Bits,2,2,14,7
Plastic Pipe Cutter,ETL1268,Pipe Cutters,2,2,14,7
Finger Pointing Trowel,ETL1295,Tuck Point Trowel,2,2,14,7
Electric Screwdriver,ETL1297,Cordless Drills,2,2,14,7
Hand sickle,ETL1314,Hand Sickle,2,2,14,7
Wallpaper cutter,ETL1810,Hand Tools,2,2,14,7
Hole Saw Kit,ETL1829,Hole Saw Kit,2,2,14,7
Paint scraper,ETL1357,Scrapers,2,2,14,7
Stone chisel,ETL1359,Cement Chisel,2,2,14,7
DeWalt Cordless Drill,ETL1367,Cordless Drills,2,2,14,7
Router Bit Set,ETL1370,Drill Bits,2,2,14,7
Tape measure,ETL1262,Tape Measures,2,2,13,6.5
G clamp set of 3,ETL1092,Bar Clamps,2,2,12,6
Branch Loppers,ETL1178,Loppers,2,2,12,6
Portable Folding Work Bench,ETL1320,Hand Tools,2,2,12,6
Mitre Saw,ETL1804,Hand Miter Saws,2,2,12,6
Tenon saw,ETL0074,Tenon Saws,2,2,11,5.5
Drywall/hacksaw,ETL0085,Drywall Saws,2,2,11,5.5
Garden rake,ETL0017,Metal Garden Rake,2,2,11,5.5
Stone chisel,ETL0225,Cement Chisel,2,2,11,5.5
Hand Drill,ETL0512,Drills,2,2,11,5.5
Large Half Moon File,ETL0853,Files,2,2,11,5.5
Crescent Wrench,ETL0178,Crescent Wrench,2,2,10,5
Garden shears,ETL0646,Grass Shear,2,2,10,5
Nylon tipped mallet,ETL0842,Rubber Mallets,2,2,10,5
Brick Bolster chisel,ETL1094,Cement Chisel,2,2,10,5
Fine Tipped Soldering iron,ETL1217,Soldering & Heat Guns,2,2,10,5
Carpenter's Pincers,ETL1270,"Pliers, Cutters, and Snips",2,2,10,5
Hand saw,ETL1351,Saws,2,2,10,5
Paint scraper,ETL1355,Scrapers,2,2,10,5
Mini Tool Set,ETL1840,Hand Tool Sets,2,2,10,5
Bike Workstand,ETL0308,Stands & Work Tables,2,2,9,4.5
File,ETL0655,Files,2,2,9,4.5
Plunge Router,ETL0990,Routers,2,2,9,4.5
Detail Sander,ETL1166,Sanders,2,2,9,4.5
Wood chisel Set,ETL1327,Wood Chisel,2,2,9,4.5
Claw Hammer,ETL0472,Claw Hammers,2,2,7,3.5
Small Axe,ETL0505,Hand Axe,2,2,7,3.5
Lawn aerator,ETL0682,Lawn Care (other),2,2,7,3.5
Jigsaw,ETL1053,Jig Saws,2,2,7,3.5
Lawn Spreader,ETL1070,Garden Tools,2,2,7,3.5
Adjustable spanner,ETL1285,Crescent Wrench,2,2,7,3.5
Claw Hammer,ETL0681,Claw Hammers,2,2,6,3
Stick Welder,ETL1034,Welders,2,2,5,2.5
Angle Grinder,ETL0033,Angle Grinders,2,2,4,2
Wire stripper,ETL0097,Wire Cutters,2,2,4,2
Sledgehammer,ETL0554,Sledgehammers,2,2,3,1.5
Stanley / Utility Knife,ETL1823,Knives,1,1,28,28
Allen Keys,ETL1188,Allen Wrench Sets,1,1,18,18
Garden Spade,ETL0001,Shovels & Digging,1,1,14,14
Lawn aerator,ETL0010,Lawn Care (other),1,1,14,14
Metric Combo Spanner Set,ETL0994,Open End Wrench,1,1,14,14
Float Trowel,ETL0707,Float,1,1,12,12
Chalk line marker,ETL0141,Chalklines,1,1,11,11
Bradawl,ETL0840,Screwdriver Sets,1,1,11,11
Screwdriver,ETL0687,Screwdrivers,1,1,10,10
Wood chisel,ETL0047,Wood Chisel,1,1,9,9
Heat Gun,ETL1054,Heat Gun,1,1,9,9
Wood chisel,ETL0058,Wood Chisel,1,1,7,7
Wood chisel,ETL0060,Wood Chisel,1,1,7,7
Tenon saw,ETL0078,Tenon Saws,1,1,7,7
Garden hoe,ETL0019,Hoes,1,1,7,7
Garden shears,ETL0021,Grass Shear,1,1,7,7
Fetching ETL branded hard hat,ETL0118,Misc,1,1,7,7
Leather punch,ETL0158,Punch,1,1,7,7
Two handed axe,ETL0164,Hand Axe,1,1,7,7
Jig Saws,ETL0183,Jig Saws,1,1,7,7
Tape measure,ETL0199,Tape Measures,1,1,7,7
Sharpening stone,ETL0222,Finishing Stone,1,1,7,7
Plastic Tip Hammers,ETL0230,Plastic Tip Hammers,1,1,7,7
Insulated screwdriver,ETL0375,Screwdrivers,1,1,7,7
Turf Cutter,ETL0392,Hoes,1,1,7,7
Lump hammer,ETL0405,Hammers & Mallets,1,1,7,7
Screwdriver set,ETL0454,Screwdriver Sets,1,1,7,7
Small Axe,ETL0510,Hand Axe,1,1,7,7
Tape measure,ETL0536,Tape Measures,1,1,7,7
Slip-joint Pliers,ETL0538,Lineman Plier,1,1,7,7
Small Garden Trowel,ETL0556,Brick Trowel,1,1,7,7
15/17mm Spanner,ETL0567,Crescent Wrench,1,1,7,7
16cm Spanner,ETL0580,Crescent Wrench,1,1,7,7
Flymo Gardenvac 2200w Turbo,ETL0604,Electric Chippers,1,1,7,7
22 / 19mm Spanner,ETL0661,Crescent Wrench,1,1,7,7
Wood file,ETL0834,Files,1,1,7,7
Round File,ETL0863,Files,1,1,7,7
Turf Cutter,ETL0694,Hoes,1,1,7,7
half moon gouge,ETL0700,Chisels & Gouges,1,1,7,7
Flat head Screwdriver,ETL0719,Screwdrivers,1,1,7,7
Reciprocating Saw,ETL0929,Reciprocating Saw,1,1,7,7
Micrometer,ETL0931,Distance Meters,1,1,7,7
POLYCELL SMART /SMOOTHER SCRAPER APPLICATOR,ETL0951,Scrapers,1,1,7,7
Garden hoe,ETL0954,Hoes,1,1,7,7
Adjustable Pipe Cutter,ETL0960,Pipe Cutters,1,1,7,7
Jigsaw,ETL0972,Jig Saws,1,1,7,7
Mitre box,ETL0982,Saws,1,1,7,7
G Clamp,ETL0997,Bar Clamps,1,1,7,7
Electric Planer,ETL1023,Power Planer,1,1,7,7
Garden Secateurs,ETL1076,Hand Pruner,1,1,7,7
Bike Allen Key Set,ETL1085,Allen Wrench Sets,1,1,7,7
Imperial Socket Set,ETL1088,Socket Sets,1,1,7,7
Garden Hoe,ETL1122,Hand Tools,1,1,7,7
Edging Shears,ETL1123,Shears,1,1,7,7
Corded circular saw,ETL1137,Circular Saws,1,1,7,7
Corded Hammer Drill,ETL1144,Power Drill 1/2in,1,1,7,7
Electric Screwdriver,ETL1147,Cordless Drills,1,1,7,7
Screwdriver set,ETL1185,Screwdriver Sets,1,1,7,7
Adjustable spanner,ETL1194,Crescent Wrench,1,1,7,7
Adjustable spanner,ETL1196,Crescent Wrench,1,1,7,7
Steam Cleaner,ETL335,Wallpaper Steamer,1,1,7,7
Dowel jig,ETL1241,Vises,1,1,7,7
Amprobe Multimeter,ETL1243,Amp Meters,1,1,7,7
Carpenter's Pincers,ETL1272,"Pliers, Cutters, and Snips",1,1,7,7
Bubble Machine,ETL1291,Activities,1,1,7,7
8 piece imperial Hex (Allen) Key Set,ETL1302,Wrench Sets,1,1,7,7
9 piece imperial allen key set,ETL1301,Allen Wrench Sets,1,1,7,7
square,ETL1306,Squares,1,1,7,7
Screwdriver/socket bits set,ETL1307,Drill Bits,1,1,7,7
Garden rake,ETL1319,Metal Garden Rake,1,1,7,7
Wooden mallet,ETL1329,Hammers & Mallets,1,1,7,7
Pipe wrench set (2 pieces),ETL1330,Slip Joint Pliers,1,1,7,7
Set of 4 Corner Clamps (double entry in the database ETL1082),ETL1802,Corner Clamp,1,1,7,7
Adjustable Tube / Pipe Cutter,ETL1805,Pipe Cutters,1,1,7,7
Hack saw,ETL1806,Hack saw,1,1,7,7
Dutch Hoe,ETL1812,Hoes,1,1,7,7
Hand drill press,ETL1814,Drill Press (hand),1,1,7,7
10 Piece Masonry Drill Bit set,ETL1343,"Bits, Drivers and Accessories",1,1,7,7
Hole Saw Set,ETL1817,Hole Saw Kit,1,1,7,7
Hole Saw Kit,ETL1827,Hole Saw Kit,1,1,7,7
Step ladder,ETL1828,Step Ladders,1,1,7,7
75 Piece Drill Bit Set,ETL1831,Drill Bits,1,1,7,7
75 Piece Drill Bit Set,ETL1832,Drill Bits,1,1,7,7
Garden Spade,ETL1833,Spade Shovel,1,1,7,7
Large Reusable Bag,ETLBAG012,Buckets,1,1,7,7
Laser Edge Level,ETL1839,Levels,1,1,7,7
Stanley / Utility Knife,ETL1369,Knives,1,1,7,7
"Woodcarving, tools, materials & equipment book",ETL1841,Curriculum,1,1,7,7
Tape measure,ETL0229,Tape Measures,1,1,6,6
Tape measure,ETL0625,Tape Measures,1,1,6,6
Heavy pickaxe,ETL0013,Pickaxes,1,1,5,5
Paint Roller Cage,ETL0212,Paint Roller Frame,1,1,5,5
Hand saw,ETL0421,Saws,1,1,5,5
Shavehook Paint Scraper,ETL0833,Scrapers,1,1,5,5
Square Edged File,ETL0868,Files,1,1,5,5
Needle nosed pliers,ETL0713,Needle Nose Pliers,1,1,5,5
Small Step Ladder,ETL1117,Step Ladders,1,1,5,5
Garden Spade,ETL1119,Hand Shovel,1,1,5,5
Club hammer,ETL1159,Claw Hammers,1,1,5,5
Sack trolley,ETL1296,Utility Wagon,1,1,5,5
scissors,ETL0422,Shears,1,1,4,4
Tri square,ETL0660,Squares,1,1,4,4
Tile Saw,ETL0893,Saws,1,1,4,4
Garden spade,ETL1278,Spade Shovel,1,1,4,4
Drywall/hacksaw,ETL1375,Drywall Saws,1,1,4,4
Chipping hammer / Rock pick,ETL0124,Pickaxes,1,1,3,3
Sheet metal cutter (hand),ETL0130,Wire Cutters,1,1,3,3
Squeegee,ETL0368,Squeegees,1,1,3,3
Grout Rake,ETL0638,Grout Trowel,1,1,3,3
Round File,ETL0859,Files,1,1,3,3
Garden Fork,ETL0301,Digging Fork,1,1,0,0
18mm/22mm Spanner,ETL0560,Crescent Wrench,1,1,0,0
